# Configuración simple de texturas por bone
# Formato: BoneName TextureIndex Visible Size
# Path a la textura
# Visible: 1=si, 0=no
# Size: tamaño del billboard (0.1-1.0)

Nose NULL 0 0.25
Head assets/textures/gab/head.png 1 0.201
LEye NULL 0 0.20
REye NULL 0 0.20
LEar NULL 0 0.15
REar NULL 0 0.15
Neck assets/textures/gab/neck.png 1 0.07
LShoulder assets/textures/gab/arm.png 1 0.13
RShoulder assets/textures/gab/arm.png 1 0.13
Chest assets/textures/gab/chest.png 1 0.22
LElbow assets/textures/gab/forearm.png 1 0.13
RElbow assets/textures/gab/forearm.png 1 0.13
LWrist assets/textures/gab/hand.png 1 0.07
RWrist assets/textures/gab/hand.png 1 0.07
Hip assets/textures/gab/hip.png 1 0.2
LHip assets/textures/gab/leg.png 1 0.15
RHip assets/textures/gab/leg.png 1 0.15
LKnee assets/textures/gab/shin.png 1 0.13
RKnee assets/textures/gab/shin.png 1 0.13
LAnkle assets/textures/gab/foot.png 1 0.13
RAnkle assets/textures/gab/foot.png 1 0.13
