# Configuración simple de hilturas por bone
# Formato: BoneName hiltureIndex Visible Size
# Path a la hiltura
# Visible: 1=si, 0=no
# Size: tamaño del billboard (0.1-1.0)

Nose NULL 0 0.25
Head assets/textures/hil/head.png 1 0.131
LEye NULL 0 0.20
REye NULL 0 0.20
LEar NULLg 0 0.15
REar NULLg 0 0.15
Neck assets/textures/hil/neck.png 1 0.075
LShoulder assets/textures/hil/arm.png 1 0.13
RShoulder assets/textures/hil/arm.png 1 0.13
Chest assets/textures/hil/chest.png 1 0.2
LElbow assets/textures/hil/forearm.png 1 0.13
RElbow assets/textures/hil/forearm.png 1 0.13
LWrist assets/textures/hil/hand.png 1 0.055S1
RWrist assets/textures/hil/hand.png 1 0.055
Hip assets/textures/hil/hip.png 1 0.17
LHip assets/textures/hil/leg.png 1 0.22
RHip assets/textures/hil/leg.png 1 0.22
LKnee assets/textures/hil/shin.png 1 0.22
RKnee assets/textures/hil/shin.png 1 0.22
LAnkle assets/textures/hil/foot.png 1 0.14 
RAnkle assets/textures/hil/foot.png 1 0.14 

# ORNAMENTOS - Nueva
# @HairBack Head 0.0,-0.01,-0.1 assets/textures/hil/HairBack.png 1 0.20 - stiff
# @HairTip HairBack 0.0,-0.08,-0.03 assets/textures/hil/HairTip.png 1 0.18 @HairBack medium 
# @TailBase Hip 0.0,-0.05,-0.1 assets/textures/hil/Tail.png 1 0.15 - medium
# @TailMid TailBase 0.0,-0.12,0.0 assets/textures/hil/Tail.png 1 0.14 @TailBase soft
# @TailTip TailMid 0.0,-0.12,0.0 assets/textures/hil/TailTip.png 1 0.12 @TailMid verysoft

#type	    nombre ancla wTop	wBot	height	offY	offX	offZ	rot	color	 physics ScurveDepth	color2
@WAISTCLOTH Loin   Hip	 0.11	0.35	0.38	0.038	0.00	0.0	0.0	5d3487FF hard  0.05		fff7dfFF
@WAISTCLOTH Loin2   Hip	 0.12	0.3	0.055	0.048	0.00	0.005	0.0	ffd93dFF medium  0.05		fed04bFF
