# Configuración simple de texturas por bone
# Formato: BoneName TextureIndex Visible Size
# Path a la textura
# Visible: 1=si, 0=no
# Size: tamaño del billboard (0.1-1.0)

Nose NULL 0 0.25
Head data/textures/eld/head.png 1 0.201
LEye NULL 0 0.20
REye NULL 0 0.20
LEar NULL 0 0.15
REar NULL 0 0.15
Neck data/textures/eld/neck.png 1 0.07
LShoulder data/textures/eld/arm.png 1 0.13
RShoulder data/textures/eld/arm.png 1 0.13
Chest data/textures/eld/chest.png 1 0.22
LElbow data/textures/eld/forearm.png 1 0.13
RElbow data/textures/eld/forearm.png 1 0.13
LWrist data/textures/eld/hand.png 1 0.07
RWrist data/textures/eld/hand.png 1 0.07
Hip data/textures/eld/hip.png 1 0.2
LHip data/textures/eld/leg.png 1 0.15
RHip data/textures/eld/leg.png 1 0.15
LKnee data/textures/eld/shin.png 1 0.13
RKnee data/textures/eld/shin.png 1 0.13
LAnkle data/textures/eld/foot.png 1 0.13
RAnkle data/textures/eld/foot.png 1 0.13
