# Configuración simple de texturas por bone
# Formato: BoneName TextureIndex Visible Size
# Path a la textura
# Visible: 1=si, 0=no
# Size: tamaño del billboard (0.1-1.0)

Nose NULL 0 0.25
Head data/textures/hil/head.png 1 0.201
LEye NULL 0 0.20
REye NULL 0 0.20
LEar NULL 0 0.15
REar NULL 0 0.15
Neck data/textures/hil/neck.png 1 0.07
LShoulder data/textures/hil/arm.png 1 0.13
RShoulder data/textures/hil/arm.png 1 0.13
Chest data/textures/hil/chest.png 1 0.22
LElbow data/textures/hil/forearm.png 1 0.13
RElbow data/textures/hil/forearm.png 1 0.13
LWrist data/textures/hil/hand.png 1 0.07
RWrist data/textures/hil/hand.png 1 0.07
Hip data/textures/hil/hip.png 1 0.2
LHip data/textures/hil/leg.png 1 0.15
RHip data/textures/hil/leg.png 1 0.15
LKnee data/textures/hil/shin.png 1 0.13
RKnee data/textures/hil/shin.png 1 0.13
LAnkle data/textures/hil/foot.png 1 0.13
RAnkle data/textures/hil/foot.png 1 0.13
